ykgC	gproNOG.ENOG410QMIW.meta_raw
bioA	gproNOG.ENOG410RB1M.meta_raw
ftsJ	gproNOG.ENOG410QJ7F.meta_raw
ychA	gproNOG.ENOG410QJSW.meta_raw
yfcP	gproNOG.ENOG410QUAU.meta_raw
ydeI	gproNOG.ENOG410QRVB.meta_raw
group_4611	gproNOG.ENOG410QR51.meta_raw
group_623	gproNOG.ENOG410QK6X.meta_raw
group_3979	gproNOG.ENOG410R1Y1.meta_raw
ycfR	gproNOG.ENOG410QUTI.meta_raw
cysJ	gproNOG.ENOG410QIJ5.meta_raw
baeR	gproNOG.ENOG410QJB4.meta_raw
group_1042	gproNOG.ENOG410R47D.meta_raw
pepB	gproNOG.ENOG410QHQ9.meta_raw
STY0378	gproNOG.ENOG410R344.meta_raw
dxs	gproNOG.ENOG410QHPR.meta_raw
ybjR	gproNOG.ENOG410QISN.meta_raw
yecA	gproNOG.ENOG410QMZG.meta_raw
STY0040	gproNOG.ENOG410QMNV.meta_raw
thiM	gproNOG.ENOG410QJ5G.meta_raw
rimI	gproNOG.ENOG410RAB1.meta_raw
purF	gproNOG.ENOG410QIPY.meta_raw
group_1171	gproNOG.ENOG410QIEY.meta_raw
STY3667	gproNOG.ENOG410QKHD.meta_raw
yhjR	gproNOG.ENOG410QX1K.meta_raw
STY2429	gproNOG.ENOG410QV9M.meta_raw
phrB	gproNOG.ENOG410QI0R.meta_raw
ybbK	gproNOG.ENOG410QHSU.meta_raw
rbfA	gproNOG.ENOG410QTZA.meta_raw
group_4840	gproNOG.ENOG410QJJ0.meta_raw
yihR	gproNOG.ENOG410QK7V.meta_raw
grxA	gproNOG.ENOG410QS2U.meta_raw
cysQ	gproNOG.ENOG410QQ07.meta_raw
ppiC	gproNOG.ENOG410QTXP.meta_raw
group_2635	gproNOG.ENOG410R5TU.meta_raw
group_7716	gproNOG.ENOG410R5W3.meta_raw
speA	gproNOG.ENOG410QIRG.meta_raw
eutS	gproNOG.ENOG410QR2W.meta_raw
STY1982	gproNOG.ENOG410QX2A.meta_raw
group_9544	gproNOG.ENOG410QP5X.meta_raw
yncB	gproNOG.ENOG410QI5W.meta_raw
ycbG	gproNOG.ENOG410QPX5.meta_raw
treY	gproNOG.ENOG410RAU4.meta_raw
group_1498	gproNOG.ENOG410QJ9Y.meta_raw
metC	gproNOG.ENOG410QI8H.meta_raw
idi	gproNOG.ENOG410QSH0.meta_raw
bisC	gproNOG.ENOG410RA2B.meta_raw
ytfP	gproNOG.ENOG410QSBA.meta_raw
yncD	gproNOG.ENOG410QJIM.meta_raw
rpmE2	gproNOG.ENOG410QTY3.meta_raw
melA	gproNOG.ENOG410QKTY.meta_raw
ydiR	gproNOG.ENOG410QIP8.meta_raw
yeiB	gproNOG.ENOG410QK75.meta_raw
wcaE	gproNOG.ENOG410QM79.meta_raw
dld	gproNOG.ENOG410QJ0B.meta_raw
nrfC	gproNOG.ENOG410QMTX.meta_raw
yqjE	gproNOG.ENOG410QS17.meta_raw
STY4001	gproNOG.ENOG410QI1X.meta_raw
yggL	gproNOG.ENOG410QSEA.meta_raw
group_5525	gproNOG.ENOG410R49K.meta_raw
cybC	gproNOG.ENOG410QRHQ.meta_raw
tdcE	gproNOG.ENOG410QM4Y.meta_raw
yajQ	gproNOG.ENOG410QQYV.meta_raw
group_5754	gproNOG.ENOG410QWHI.meta_raw
ydcF	gproNOG.ENOG410QMKG.meta_raw
group_309	gproNOG.ENOG410QHUW.meta_raw
vdcC	gproNOG.ENOG410QP2B.meta_raw
pstA	gproNOG.ENOG410QK9N.meta_raw
torS	gproNOG.ENOG410QIA2.meta_raw
ydjN	gproNOG.ENOG410RA53.meta_raw
group_3843	gproNOG.ENOG410R35A.meta_raw
yobA	gproNOG.ENOG410QT0H.meta_raw
STY0810	gproNOG.ENOG410QNJ4.meta_raw
STY4772	gproNOG.ENOG410QQ5G.meta_raw
rlpB	gproNOG.ENOG410QQ1E.meta_raw
fdx	gproNOG.ENOG410QQU6.meta_raw
STY3677	gproNOG.ENOG410QJG3.meta_raw
group_3092	gproNOG.ENOG410QQ6H.meta_raw
STY3948	gproNOG.ENOG410QIBQ.meta_raw
csgF	gproNOG.ENOG410QRGY.meta_raw
group_4150	gproNOG.ENOG410QI83.meta_raw
pmbA	gproNOG.ENOG410QI3K.meta_raw
STY2019	gproNOG.ENOG410QRQM.meta_raw
STY4005	gproNOG.ENOG410QR09.meta_raw
fnr	gproNOG.ENOG410QIY6.meta_raw
group_2820	gproNOG.ENOG410QPTQ.meta_raw
group_4865	gproNOG.ENOG410QQ3N.meta_raw
yhhW	gproNOG.ENOG410QM6C.meta_raw
galP	gproNOG.ENOG410QK0J.meta_raw
dnaN	gproNOG.ENOG410QHTG.meta_raw
frdB	gproNOG.ENOG410QJ79.meta_raw
mutT	gproNOG.ENOG410QTPG.meta_raw
ldcC	gproNOG.ENOG410QHZP.meta_raw
garK	gproNOG.ENOG410QM2X.meta_raw
ygiD	gproNOG.ENOG410QJZZ.meta_raw
group_1209	gproNOG.ENOG410QMIC.meta_raw
epd	gproNOG.ENOG410QIP7.meta_raw
mukF	gproNOG.ENOG410QKGP.meta_raw
moeA	gproNOG.ENOG410QIVB.meta_raw
group_4609	gproNOG.ENOG410QSCR.meta_raw
STY1398	gproNOG.ENOG410R2T0.meta_raw
oxd6C	gproNOG.ENOG410QKM2.meta_raw
ybbS	gproNOG.ENOG410QNMI.meta_raw
group_8154	gproNOG.ENOG410QTA8.meta_raw
fucK	gproNOG.ENOG410QI0K.meta_raw
sucD	gproNOG.ENOG410QIIJ.meta_raw
group_1273	gproNOG.ENOG410QK9I.meta_raw
group_3639	gproNOG.ENOG410QVYG.meta_raw
lasT	gproNOG.ENOG410QKJ5.meta_raw
araD	gproNOG.ENOG410QHT1.meta_raw
group_5524	gproNOG.ENOG410QUEU.meta_raw
yfeY	gproNOG.ENOG410QHR5.meta_raw
mfd	gproNOG.ENOG410RAXV.meta_raw
hilD	gproNOG.ENOG410R7B2.meta_raw
stbC	gproNOG.ENOG410QIEY.meta_raw
cpxA	gproNOG.ENOG410QJI4.meta_raw
pipD	gproNOG.ENOG410QKXT.meta_raw
group_998	gproNOG.ENOG410QWYQ.meta_raw
yhgH	gproNOG.ENOG410QSC8.meta_raw
abf2	gproNOG.ENOG410QIPU.meta_raw
tdcG	gproNOG.ENOG410QI63.meta_raw
STY4452	gproNOG.ENOG410R3IK.meta_raw
sprT	gproNOG.ENOG410QSGJ.meta_raw
yiaD	gproNOG.ENOG410QI22.meta_raw
frdA	gproNOG.ENOG410QIMQ.meta_raw
pagP	gproNOG.ENOG410QKWN.meta_raw
group_1314	gproNOG.ENOG410R2G4.meta_raw
group_2827	gproNOG.ENOG410QZEM.meta_raw
ydgJ	gproNOG.ENOG410R1RP.meta_raw
sitB	gproNOG.ENOG410QJVM.meta_raw
yjbA	gproNOG.ENOG410QR08.meta_raw
yggW	gproNOG.ENOG410QJ3W.meta_raw
group_2901	gproNOG.ENOG410QU5C.meta_raw
yejE	gproNOG.ENOG410QJ6Z.meta_raw
group_8982	gproNOG.ENOG410QJH1.meta_raw
rfbM	gproNOG.ENOG410QIF2.meta_raw
ybjN	gproNOG.ENOG410QPW8.meta_raw
yafM	gproNOG.ENOG410QQWB.meta_raw
STY2358	gproNOG.ENOG410R7HG.meta_raw
yccJ	gproNOG.ENOG410QV55.meta_raw
yjeH	gproNOG.ENOG410QJE4.meta_raw
yecG	gproNOG.ENOG410QR01.meta_raw
cysG	gproNOG.ENOG410QIHN.meta_raw
group_2792	gproNOG.ENOG410QT4S.meta_raw
group_2206	gproNOG.ENOG410R133.meta_raw
STY4262	gproNOG.ENOG410QKX7.meta_raw
group_2642	gproNOG.ENOG410QQ0T.meta_raw
pepD	gproNOG.ENOG410QIUC.meta_raw
yqiB	gproNOG.ENOG410QPXT.meta_raw
group_2675	gproNOG.ENOG410R6QQ.meta_raw
group_9281	gproNOG.ENOG410QJ18.meta_raw
ybfM	gproNOG.ENOG410R8DT.meta_raw
STY4886	gproNOG.ENOG410QTAN.meta_raw
group_73	gproNOG.ENOG410QS3D.meta_raw
STY4635	gproNOG.ENOG410QJZ1.meta_raw
STY4263	gproNOG.ENOG410QMMD.meta_raw
yhhT	gproNOG.ENOG410QJW3.meta_raw
stdC	gproNOG.ENOG410QZUT.meta_raw
visC	gproNOG.ENOG410QI6U.meta_raw
ulaC	gproNOG.ENOG410QTEZ.meta_raw
pyrD	gproNOG.ENOG410QHZU.meta_raw
pilO	gproNOG.ENOG410QR77.meta_raw
solA	gproNOG.ENOG410QM6P.meta_raw
group_3740	gproNOG.ENOG410QK31.meta_raw
STY4458	gproNOG.ENOG410R8I4.meta_raw
pyrG	gproNOG.ENOG410QI3I.meta_raw
glyA	gproNOG.ENOG410QI2B.meta_raw
cbiG	gproNOG.ENOG410QKUU.meta_raw
secY	gproNOG.ENOG410QIFB.meta_raw
yhhA	gproNOG.ENOG410QVRP.meta_raw
insM	gproNOG.ENOG410QKM4.meta_raw
nadE	gproNOG.ENOG410QN7Z.meta_raw
nuoB	gproNOG.ENOG410QKHB.meta_raw
mdfA	gproNOG.ENOG410QJBQ.meta_raw
allC	gproNOG.ENOG410QITI.meta_raw
hmt	gproNOG.ENOG410QRUX.meta_raw
yjfR	gproNOG.ENOG410QN71.meta_raw
group_2864	gproNOG.ENOG410QNXR.meta_raw
STY3764	gproNOG.ENOG410QJIX.meta_raw
wcaL	gproNOG.ENOG410QKRR.meta_raw
yihG	gproNOG.ENOG410QJ1P.meta_raw
yjjW	gproNOG.ENOG410QNTF.meta_raw
group_5911	gproNOG.ENOG410QSCR.meta_raw
group_351	gproNOG.ENOG410QPQX.meta_raw
cydB	gproNOG.ENOG410QJAN.meta_raw
yjbE	gproNOG.ENOG410R582.meta_raw
group_4831	gproNOG.ENOG410QM8D.meta_raw
phoH	gproNOG.ENOG410QKD5.meta_raw
group_4846	gproNOG.ENOG410QSKP.meta_raw
group_2786	gproNOG.ENOG410QRNT.meta_raw
zntB	gproNOG.ENOG410QK5U.meta_raw
narP	gproNOG.ENOG410QKYH.meta_raw
iicA	gproNOG.ENOG410QWPC.meta_raw
group_3987	gproNOG.ENOG410QVRK.meta_raw
vsr	gproNOG.ENOG410QM2T.meta_raw
group_2723	gproNOG.ENOG410QQKK.meta_raw
traD	gproNOG.ENOG410R4YH.meta_raw
pgi	gproNOG.ENOG410QJFB.meta_raw
STY3231	gproNOG.ENOG410QPAD.meta_raw
sicA	gproNOG.ENOG410QS6N.meta_raw
nirC	gproNOG.ENOG410QKT3.meta_raw
rlgA	gproNOG.ENOG410QSE9.meta_raw
fixB	gproNOG.ENOG410QIP8.meta_raw
STY1023	gproNOG.ENOG410R8YG.meta_raw
rpmG	gproNOG.ENOG410QVRJ.meta_raw
STY1443	gproNOG.ENOG410QR57.meta_raw
phnS	gproNOG.ENOG410QNZ1.meta_raw
pgpB	gproNOG.ENOG410QJ6X.meta_raw
tolQ	gproNOG.ENOG410QJ1K.meta_raw
glgX	gproNOG.ENOG410RAUD.meta_raw
STY2213	gproNOG.ENOG410QT4N.meta_raw
yacG	gproNOG.ENOG410QVXX.meta_raw
STY3027	gproNOG.ENOG410QR7U.meta_raw
ubiH	gproNOG.ENOG410QJT1.meta_raw
STY0302	gproNOG.ENOG410QQCK.meta_raw
dcuS	gproNOG.ENOG410QI1G.meta_raw
yffH	gproNOG.ENOG410QNDT.meta_raw
pilQ	gproNOG.ENOG410QME3.meta_raw
astD	gproNOG.ENOG410QJCF.meta_raw
blc1	gproNOG.ENOG410QKBD.meta_raw
lppB	gproNOG.ENOG410QTNP.meta_raw
ecnB	gproNOG.ENOG410QYD3.meta_raw
astA	gproNOG.ENOG410QI1T.meta_raw
yeaJ	gproNOG.ENOG410QITJ.meta_raw
STY1441	gproNOG.ENOG410QNEV.meta_raw
uhpT	gproNOG.ENOG410QIXE.meta_raw
gpR	gproNOG.ENOG410QSPJ.meta_raw
group_2999	gproNOG.ENOG410QUR6.meta_raw
kgtP	gproNOG.ENOG410QHV4.meta_raw
STY2573	gproNOG.ENOG410QU8V.meta_raw
bolA	gproNOG.ENOG410QU5G.meta_raw
ycgL	gproNOG.ENOG410QVY6.meta_raw
hyaB	gproNOG.ENOG410QKRN.meta_raw
STY4641	gproNOG.ENOG410QW0C.meta_raw
ydgE	gproNOG.ENOG410QSGU.meta_raw
STY4108	gproNOG.ENOG410QX4J.meta_raw
aroA	gproNOG.ENOG410QIQK.meta_raw
glnE	gproNOG.ENOG410QHZN.meta_raw
dinG	gproNOG.ENOG410QKHK.meta_raw
yhbV	gproNOG.ENOG410QJU0.meta_raw
folK	gproNOG.ENOG410QS91.meta_raw
spaO	gproNOG.ENOG410QXD8.meta_raw
yshA	gproNOG.ENOG410QMM0.meta_raw
gltJ	gproNOG.ENOG410QM4J.meta_raw
yeaL	gproNOG.ENOG410QR95.meta_raw
etfA	gproNOG.ENOG410QIP8.meta_raw
hybC	gproNOG.ENOG410QKRN.meta_raw
yhcN	gproNOG.ENOG410QU8G.meta_raw
group_2004	gproNOG.ENOG410QS2V.meta_raw
group_4858	gproNOG.ENOG410QQZR.meta_raw
ygjP	gproNOG.ENOG410QQUK.meta_raw
virK	gproNOG.ENOG410QIST.meta_raw
artM	gproNOG.ENOG410QJKT.meta_raw
STY4594	gproNOG.ENOG410QT6X.meta_raw
apaH	gproNOG.ENOG410QHZV.meta_raw
yqgD	gproNOG.ENOG410QZJD.meta_raw
STY3915	gproNOG.ENOG410QS8K.meta_raw
yebE	gproNOG.ENOG410QKVF.meta_raw
group_2972	gproNOG.ENOG410QR72.meta_raw
yfcG	gproNOG.ENOG410QJRQ.meta_raw
yciO	gproNOG.ENOG410QI7X.meta_raw
flgC	gproNOG.ENOG410QQC6.meta_raw
tig	gproNOG.ENOG410QHQ1.meta_raw
group_664	gproNOG.ENOG410QI3N.meta_raw
STY3291	gproNOG.ENOG410QTEY.meta_raw
group_1270	gproNOG.ENOG410RB2U.meta_raw
ylbE	gproNOG.ENOG410QJV0.meta_raw
helD	gproNOG.ENOG410QMHZ.meta_raw
group_2613	gproNOG.ENOG410R70J.meta_raw
group_3099	gproNOG.ENOG410QPXN.meta_raw
yfbR	gproNOG.ENOG410QN24.meta_raw
yigQ	gproNOG.ENOG410QK64.meta_raw
atpC	gproNOG.ENOG410QPVI.meta_raw
vexB	gproNOG.ENOG410QSE3.meta_raw
yedK	gproNOG.ENOG410QM2C.meta_raw
ssaM	gproNOG.ENOG410QZS2.meta_raw
sufS	gproNOG.ENOG410QJ7Z.meta_raw
group_207	gproNOG.ENOG410QW2C.meta_raw
rbsR	gproNOG.ENOG410QJB1.meta_raw
group_4406	gproNOG.ENOG410QKUJ.meta_raw
group_2601	gproNOG.ENOG410QT06.meta_raw
priB	gproNOG.ENOG410QSC1.meta_raw
group_6614	gproNOG.ENOG410R5GZ.meta_raw
yihI	gproNOG.ENOG410QVWD.meta_raw
nudD	gproNOG.ENOG410QQNX.meta_raw
group_4754	gproNOG.ENOG410QJ1I.meta_raw
yeeN	gproNOG.ENOG410QHTQ.meta_raw
STY2500	gproNOG.ENOG410QJE9.meta_raw
dinI	gproNOG.ENOG410QVA7.meta_raw
group_34	gproNOG.ENOG410R0IC.meta_raw
ego	gproNOG.ENOG410QP1F.meta_raw
yeeZ	gproNOG.ENOG410QIRB.meta_raw
STY1025	gproNOG.ENOG410R4AK.meta_raw
glk	gproNOG.ENOG410QIV7.meta_raw
group_1555	gproNOG.ENOG410QI4X.meta_raw
speB	gproNOG.ENOG410QIVC.meta_raw
group_31	gproNOG.ENOG410R7T4.meta_raw
group_4763	gproNOG.ENOG410QZ89.meta_raw
yhjC	gproNOG.ENOG410QI0X.meta_raw
hisS	gproNOG.ENOG410QIQ9.meta_raw
rcsB	gproNOG.ENOG410QJRT.meta_raw
group_2561	gproNOG.ENOG410QISU.meta_raw
ycgC	gproNOG.ENOG410R6WT.meta_raw
topA	gproNOG.ENOG410QIIK.meta_raw
STY4164	gproNOG.ENOG410QJB1.meta_raw
yadH	gproNOG.ENOG410QJC8.meta_raw
group_3323	gproNOG.ENOG410QYZW.meta_raw
emtA	gproNOG.ENOG410R0WH.meta_raw
group_5032	gproNOG.ENOG410R0IA.meta_raw
rfaK	gproNOG.ENOG410QPQB.meta_raw
pdxJ	gproNOG.ENOG410QJ0T.meta_raw
pduW	gproNOG.ENOG410QJ0C.meta_raw
yieN	gproNOG.ENOG410QIQV.meta_raw
group_346	gproNOG.ENOG410QU2W.meta_raw
group_1272	gproNOG.ENOG410QK9I.meta_raw
fucI	gproNOG.ENOG410QK5X.meta_raw
yebQ	gproNOG.ENOG410QHZ3.meta_raw
sbmA	gproNOG.ENOG410R9U4.meta_raw
group_8720	gproNOG.ENOG410QPRR.meta_raw
trbC	gproNOG.ENOG410QNEM.meta_raw
yceL	gproNOG.ENOG410QJEK.meta_raw
thyA	gproNOG.ENOG410QI3X.meta_raw
yejG	gproNOG.ENOG410QT0R.meta_raw
ygaU	gproNOG.ENOG410QPHG.meta_raw
group_418	gproNOG.ENOG410QNC5.meta_raw
psd	gproNOG.ENOG410QIS9.meta_raw
STY1451	gproNOG.ENOG410QTI5.meta_raw
group_724	gproNOG.ENOG410R23A.meta_raw
group_5723	gproNOG.ENOG410QUGB.meta_raw
group_3716	gproNOG.ENOG410QJBJ.meta_raw
cydC	gproNOG.ENOG410RB02.meta_raw
yneB	gproNOG.ENOG410QKRW.meta_raw
ybdZ	gproNOG.ENOG410QXY7.meta_raw
group_7717	gproNOG.ENOG410QQYI.meta_raw
ccmE	gproNOG.ENOG410QS3D.meta_raw
STY4534	gproNOG.ENOG410QQMK.meta_raw
yedO	gproNOG.ENOG410R7XZ.meta_raw
phsC	gproNOG.ENOG410QPM8.meta_raw
STY2731	gproNOG.ENOG410QN2C.meta_raw
sscA	gproNOG.ENOG410QXII.meta_raw
STY4663	gproNOG.ENOG410R5I5.meta_raw
priA	gproNOG.ENOG410QHVC.meta_raw
talC	gproNOG.ENOG410QJYC.meta_raw
group_4826	gproNOG.ENOG410QI2J.meta_raw
group_3457	gproNOG.ENOG410QSAW.meta_raw
spvC	gproNOG.ENOG410QQT3.meta_raw
cas5	gproNOG.ENOG410QMRA.meta_raw
STY0159	gproNOG.ENOG410QIXQ.meta_raw
csiE	gproNOG.ENOG410QMMU.meta_raw
group_5129	gproNOG.ENOG410QJD4.meta_raw
yciK	gproNOG.ENOG410QHXU.meta_raw
ycjI	gproNOG.ENOG410QHVE.meta_raw
cikL	gproNOG.ENOG410QIIU.meta_raw
group_6625	gproNOG.ENOG410QS1A.meta_raw
gltI	gproNOG.ENOG410QMGG.meta_raw
trpB	gproNOG.ENOG410QIIF.meta_raw
group_3939	gproNOG.ENOG410QPNE.meta_raw
moeB	gproNOG.ENOG410QIVU.meta_raw
rnr	gproNOG.ENOG410QI34.meta_raw
