"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Salmonella_enterica_subsp_enterica_serovar_Agona_str_SL483_v1","Salmonella_enterica_subsp_enterica_serovar_Choleraesuis_str_SC-B67_v1","Salmonella_enterica_subsp_enterica_serovar_Dublin_str_CT_02021853_v1","Salmonella_enterica_subsp_enterica_serovar_Enteritidis_str_P125109_v1","Salmonella_enterica_subsp_enterica_serovar_Gallinarum_str_287_91_v1","Salmonella_enterica_subsp_enterica_serovar_Heidelberg_str_SL476_v1","Salmonella_enterica_subsp_enterica_serovar_Newport_str_SL254_v1","Salmonella_enterica_subsp_enterica_serovar_Paratyphi_A_str_ATCC_9150_v1","Salmonella_enterica_subsp_enterica_serovar_Paratyphi_B_str_SPB7_v1","Salmonella_enterica_subsp_enterica_serovar_Paratyphi_C_strain_RKS4594_v1","Salmonella_enterica_subsp_enterica_serovar_Schwarzengrund_str_CVM19633_v1","Salmonella_enterica_subsp_enterica_serovar_Typhi_str_CT18_v1","Salmonella_enterica_subsp_enterica_serovar_Typhimurium_str_LT2_v1"
"ppdC","","prepilin peptidase-dependent protein C","13","13","1","1","2560","","","","248","320","308","CP001138.6151","AE017220.6436","CP001144.6400","AM933172.9251___12323","AM933173.8785___30984","CP001120.6287","CP001113.6316","CP000026.5720","CP000886.7453___44892","CP000857.6110","CP001127.6162","AL513382.6446___55444","AE006468.9088"
"ygeA","","aspartate racemase","13","13","1","1","2537","","","","680","731","704","CP001138.6195","AE017220.6474","CP001144.6446","AM933172.9319___12412","AM933173.8854___31072","CP001120.6331","CP001113.6362","CP000026.5760","CP000886.7505___44944","CP000857.6148","CP001127.6208","AL513382.6497___55495","AE006468.9141"
"ygfX","","putative inner membrane protein","13","13","1","1","2480","","","","347","413","399","CP001138.6267","AE017220.6543","CP001144.6515","AM933172.9423___12546","AM933173.8913___31144","CP001120.6422","CP001113.6428","CP000026.5826","CP000886.7583___45022","CP000857.6213","CP001127.6268","AL513382.6575___55574","AE006468.9236"
"STY3208","","putative outer membrane protein","13","13","1","1","2473","","","","839","938","892","CP001138.6281","AE017220.6557","CP001144.6529","AM933172.9438___12567","AM933173.8928___31165","CP001120.6436","CP001113.6442","CP000026.5838","CP000886.7597___45036","CP000857.6227","CP001127.6281","AL513382.6584___55583","AE006468.9253"
"STY3231","","ABC transporter permease protein","13","13","1","1","2446","","","","674","707","701","CP001138.6331","AE017220.6606","CP001144.6577","AM933172.9511___12651","AM933173.8997___31245","CP001120.6487","CP001113.6493","CP000026.5884","CP000886.7661___45100","CP000857.6275","CP001127.6327","AL513382.6636___55635","AE006468.9325"
"STY3296","","putative cytoplasmic protein","13","13","1","1","2367","","","","266","374","357","CP001138.6454","AE017220.6723","CP001144.6686","AM933172.9690___12877","AM933173.9166___31463","CP001120.6606","CP001113.6619","CP000026.5986","CP000886.7797___45236","CP000857.6392","CP001127.6440","AL513382.6743___55742","AE006468.9497"
"STY3300","","putative cytoplasmic protein","13","13","1","1","2363","","","","485","485","485","CP001138.6462","AE017220.6731","CP001144.6694","AM933172.9701___12888","AM933173.9177___31474","CP001120.6616","CP001113.6629","CP000026.5994","CP000886.7807___45246","CP000857.6399","CP001127.6448","AL513382.6749___55748","AE006468.9508"
"STY3328","","putative cytoplasmic protein","13","13","1","1","2332","","","","410","410","410","CP001138.6516","AE017220.6786","CP001144.6747","AM933172.9778___12985","AM933173.9246___31567","CP001120.6672","CP001113.6683","CP000026.6042","CP000886.7875___45314","CP000857.6453","CP001127.6510","AL513382.6794___55793","AE006468.9583"
"STY3329","","putative cytoplasmic protein","13","13","1","1","2331","","","","374","404","399","CP001138.6518","AE017220.6788","CP001144.6749","AM933172.9779___12986","AM933173.9247___31568","CP001120.6674","CP001113.6685","CP000026.6044","CP000886.7877___45316","CP000857.6455","CP001127.6512","AL513382.6795___55794","AE006468.9586"
"exbB","","tonB-system energizer ExbB","13","13","1","1","2328","","","","731","746","734","CP001138.6524","AE017220.6794","CP001144.6755","AM933172.9786___12993","AM933173.9254___31575","CP001120.6680","CP001113.6691","CP000026.6050","CP000886.7883___45322","CP000857.6461","CP001127.6518","AL513382.6801___55800","AE006468.9593"
"cheM","","methyl-accepting chemotaxis protein II","13","13","1","1","2256","","","","1445","1586","1558","CP001138.6659","AE017220.6923","CP001144.6880","AM933172.9977___13235","AM933173.9441___31815","CP001120.6882","CP001113.6814","CP000026.6164","CP000886.8022___45461","CP000857.6587","CP001127.6641","AL513382.6907___55906","AE006468.9763"
"ygjT","","inner membrane protein alx","13","13","1","1","2247","","","","863","1013","963","CP001138.6679","AE017220.6944","CP001144.6898","AM933172.10003___13262","AM933173.9467___31843","CP001120.6900","CP001113.6832","CP000026.6182","CP000886.8048___45487","CP000857.6605","CP001127.6659","AL513382.6925___55924","AE006468.9788"
"yraR","","NAD dependent epimerase/dehydratase family protein","13","13","1","1","2199","","","","578","668","638","CP001138.6763","AE017220.7025","CP001144.6978","AM933172.10118___13431","AM933173.9574___32001","CP001120.6984","CP001113.6910","CP000026.6270","CP000886.8156___45595","CP000857.6683","CP001127.6741","AL513382.7006___56005","AE006468.9925"
"yhbV","","peptidase, U32 family","13","13","1","1","2192","","","","857","896","879","CP001138.6777","AE017220.7039","CP001144.6992","AM933172.10132___13445","AM933173.9587___32014","CP001120.6998","CP001113.6924","CP000026.6284","CP000886.8170___45609","CP000857.6697","CP001127.6755","AL513382.7018___56017","AE006468.9947"
"mtr","","probable amino acid permease","13","13","1","1","2188","","","","1160","1244","1231","CP001138.6785","AE017220.7048","CP001144.7000","AM933172.10140___13453","AM933173.9595___32022","CP001120.7002","CP001113.6928","CP000026.6288","CP000886.8178___45617","CP000857.6705","CP001127.6759","AL513382.7021___56020","AE006468.9957"
"yhbC","","conserved hypothetical protein","13","13","1","1","2179","","","","422","464","442","CP001138.6805","AE017220.7067","CP001144.7020","AM933172.10184___13506","AM933173.9639___32075","CP001120.7022","CP001113.6948","CP000026.6308","CP000886.8199___45638","CP000857.6723","CP001127.6781","AL513382.7052___56051","AE006468.9987"
"ispB","","octaprenyl-diphosphate synthase","13","13","1","1","2162","","","","971","1145","1060","CP001138.6841","AE017220.7103","CP001144.7056","AM933172.10244___13577","AM933173.9697___32145","CP001120.7060","CP001113.6988","CP000026.6340","CP000886.8243___45682","CP000857.6759","CP001127.6819","AL513382.7097___56096","AE006468.10032"
"yhbN","","lipopolysaccharide ABC transporter, periplasmic lipopolysaccharide-binding protein","13","13","1","1","2148","","","","518","575","544","CP001138.6867","AE017220.7129","CP001144.7082","AM933172.10285___13630","AM933173.9735___32195","CP001120.7086","CP001113.7014","CP000026.6366","CP000886.8271___45710","CP000857.6785","CP001127.6845","AL513382.7124___56123","AE006468.10070"
"yhcN","","protein YhcN","13","13","1","1","2094","","","","263","263","263","CP001138.6954","AE017220.7220","CP001144.7168","AM933172.10434___13822","AM933173.9874___32377","CP001120.7173","CP001113.7100","CP000026.6452","CP000886.8377___45816","CP000857.6871","CP001127.6930","AL513382.7217___56216","AE006468.10209"
"yhdT","","putative membrane protein","13","13","1","1","2074","","","","242","242","242","CP001138.6994","AE017220.7261","CP001144.7208","AM933172.10500___13908","AM933173.9937___32460","CP001120.7213","CP001113.7140","CP000026.6492","CP000886.8423___45862","CP000857.6913","CP001127.6970","AL513382.7252___56251","AE006468.10268"
"yhdG","","tRNA-dihydrouridine synthase B","13","13","1","1","2071","","","","845","965","933","CP001138.7000","AE017220.7267","CP001144.7216","AM933172.10511___13932","AM933173.9948___32484","CP001120.7219","CP001113.7148","CP000026.6498","CP000886.8435___45874","CP000857.6919","CP001127.6976","AL513382.7259___56258","AE006468.10279"
"smf","","DNA protecting protein DprA","13","13","1","1","1551","","","","644","1124","1087","CP001138.7050","AE017220.7330","CP001144.7262","AM933172.10570___14008","AM933173.12368___35771","CP001120.7269","CP001113.7195","CP000026.6540","CP000886.8492___45931","CP000857.6970","CP001127.7023","AL513382.9017___58018","AE006468.10332"
"rplN","","ribosomal protein L14","13","13","1","1","1528","","","","314","371","365","CP001138.7098","AE017220.7376","CP001144.7310","AM933172.10657___14105","AM933173.12281___35673","CP001120.7317","CP001113.7243","CP000026.6588","CP000886.8543___45982","CP000857.7020","CP001127.7070","AL513382.8941___57942","AE006468.10406"
"yheL","","sulfur relay protein TusB/DsrH","13","13","1","1","1508","","","","239","287","283","CP001138.7137","AE017220.7415","CP001144.7349","AM933172.10726___14177","AM933173.12215___35604","CP001120.7356","CP001113.7282","CP000026.6626","CP000886.8583___46022","CP000857.7058","CP001127.7108","AL513382.8884___57885","AE006468.10463"
"yheU","","conserved hypothetical protein","13","13","1","1","1491","","","","206","218","217","CP001138.7165","AE017220.7444","CP001144.7376","AM933172.10767___14227","AM933173.12178___35565","CP001120.7384","CP001113.7312","CP000026.6654","CP000886.8619___46058","CP000857.7086","CP001127.7136","AL513382.8856___57857","AE006468.10502"
"yhfA","","OsmC family protein","13","13","1","1","1485","","","","281","419","396","CP001138.7169","AE017220.7449","CP001144.7380","AM933172.10773___14233","AM933173.12172___35559","CP001120.7388","CP001113.7316","CP000026.6658","CP000886.8623___46062","CP000857.7089","CP001127.7140","AL513382.8852___57853","AE006468.10507"
"nirC","","putative nitrite transporter","13","13","1","1","1471","","","","809","869","813","CP001138.7193","AE017220.7473","CP001144.7404","AM933172.10815___14293","AM933173.12129___35493","CP001120.7414","CP001113.7340","CP000026.6680","CP000886.8655___46094","CP000857.7113","CP001127.7166","AL513382.8823___57824","AE006468.10559"
"bioH","","putative pimeloyl-BioC--CoA transferase BioH","13","13","1","1","1431","","","","596","770","752","CP001138.7267","AE017220.7539","CP001144.7468","AM933172.10924___14430","AM933173.12027___35366","CP001120.7481","CP001113.7408","CP000026.6744","CP000886.8734___46173","CP000857.7179","CP001127.7232","AL513382.8753___57754","AE006468.10657"
"yhgH","","protein GntX","13","13","1","1","1430","","","","647","683","680","CP001138.7269","AE017220.7541","CP001144.7470","AM933172.10926___14432","AM933173.12024___35363","CP001120.7483","CP001113.7410","CP000026.6746","CP000886.8738___46177","CP000857.7181","CP001127.7234","AL513382.8752___57753","AE006468.10661"
"glpE","","thiosulfate sulfurtransferase GlpE","13","13","1","1","1415","","","","326","341","328","CP001138.7297","AE017220.7571","CP001144.7498","AM933172.10974___14494","AM933173.11981___35306","CP001120.7512","CP001113.7426","CP000026.6762","CP000886.8760___46199","CP000857.7208","CP001127.7250","AL513382.8734___57735","AE006468.10712"
"glgB","","1,4-alpha-glucan branching enzyme","13","13","1","1","1398","","","","1112","2186","2103","CP001138.7323","AE017220.7596","CP001144.7524","AM933172.11018___14553","AM933173.11940___35245","CP001120.7539","CP001113.7452","CP000026.6774","CP000886.8786___46225","CP000857.7234","CP001127.7272","AL513382.8716___57717","AE006468.10753"
"gntK","","shikimate kinase","13","13","1","1","1394","","","","494","560","520","CP001138.7329","AE017220.7604","CP001144.7530","AM933172.11031___14578","AM933173.11929___35222","CP001120.7546","CP001113.7459","CP000026.6782","CP000886.8796___46235","CP000857.7240","CP001127.7278","AL513382.8710___57711","AE006468.10765"
"STY4262","","putative inner membrane protein","13","13","1","1","1387","","","","938","971","968","CP001138.7347","AE017220.7619","CP001144.7548","AM933172.11054___14601","AM933173.11906___35190","CP001120.7566","CP001113.7477","CP000026.6798","CP000886.8820___46259","CP000857.7254","CP001127.7296","AL513382.8693___57694","AE006468.10790"
"yhhS","","protein YhhS","13","13","1","1","1351","","","","1181","1259","1220","CP001138.7411","AE017220.7690","CP001144.7614","AM933172.11169___14771","AM933173.11791___35017","CP001120.7630","CP001113.7541","CP000026.6860","CP000886.8892___46331","CP000857.7319","CP001127.7362","AL513382.8614___57615","AE006468.10895"
"pduS","","polyhedral body protein","13","13","1","1","6534","","","","1328","1355","1350","CP001138.4259","AE017220.4530","CP001144.4618","AM933172.6537___8626","AM933173.6211___27452","CP001120.4463","CP001113.4373","CP000026.1635","CP000886.2107___39546","CP000857.3334","CP001127.4345","AL513382.4274___53272","AE006468.6218"
"acpT","","4'-phosphopantetheinyl transferase AcpT","13","13","1","1","1349","","","","554","578","576","CP001138.7415","AE017220.7694","CP001144.7618","AM933172.11175___14795","AM933173.11785___35004","CP001120.7634","CP001113.7545","CP000026.6864","CP000886.8898___46337","CP000857.7323","CP001127.7366","AL513382.8610___57611","AE006468.10901"
"nikR","","nickel-responsive transcriptional regulator NikR","13","13","1","1","1348","","","","401","461","422","CP001138.7417","AE017220.7696","CP001144.7620","AM933172.11177___14797","AM933173.11782___35001","CP001120.7636","CP001113.7547","CP000026.6866","CP000886.8900___46339","CP000857.7325","CP001127.7368","AL513382.8608___57609","AE006468.10904"
"uspB","","universal stress protein B","13","13","1","1","1340","","","","221","335","305","CP001138.7431","AE017220.7709","CP001144.7633","AM933172.11205___14841","AM933173.11755___34957","CP001120.7650","CP001113.7561","CP000026.6890","CP000886.8914___46353","CP000857.7339","CP001127.7382","AL513382.8585___57586","AE006468.10921"
"psi","","sugar isomerase","13","13","1","1","1325","","","","851","995","957","CP001138.7459","AE017220.7741","CP001144.7657","AM933172.11243___14903","AM933173.11716___34895","CP001120.7674","CP001113.7587","CP000026.6910","CP000886.8940___46379","CP000857.7369","CP001127.7406","AL513382.8562___57563","AE006468.10958"
"bax","","protein bax","13","13","1","1","1250","","","","572","923","842","CP001138.7595","AE017220.7881","CP001144.7790","AM933172.11459___15204","AM933173.11517___34617","CP001120.7811","CP001113.7719","CP000026.7024","CP000886.9099___46538","CP000857.7502","CP001127.7530","AL513382.8410___57411","AE006468.11141"
"lldR","","putative L-lactate dehydrogenase operon regulatory protein LldR","13","13","1","1","1208","","","","707","776","770","CP001138.7661","AE017220.7925","CP001144.7856","AM933172.11570___15346","AM933173.11410___34484","CP001120.7873","CP001113.7781","CP000026.7086","CP000886.9177___46616","CP000857.7567","CP001127.7598","AL513382.8327___57327","AE006468.11247"
"rph","","ribonuclease PH","13","13","1","1","1160","","","","524","716","698","CP001138.7742","AE017220.8006","CP001144.7936","AM933172.11695___15491","AM933173.11288___34341","CP001120.7958","CP001113.7864","CP000026.7168","CP000886.9265___46704","CP000857.7647","CP001127.7675","AL513382.8236___57236","AE006468.11365"
"STY4057","","beta-lactamase","13","13","1","1","1148","","","","881","884","881","CP001138.7748","AE017220.8012","CP001144.7942","AM933172.11706___15502","AM933173.11278___34331","CP001120.7964","CP001113.7870","CP000026.7174","CP000886.9273___46712","CP000857.7651","CP001127.7697","AL513382.8229___57229","AE006468.11375"
"fidL","","putative inner membrane protein","13","13","1","1","1109","","","","356","482","462","CP001138.7802","AE017220.8052","CP001144.7984","AM933172.11774___15610","AM933173.11221___34243","CP001120.8007","CP001113.7907","CP000026.7214","CP000886.9331___46770","CP000857.7686","CP001127.7735","AL513382.8191___57191","AE006468.11434"
